Id,PetalLengthCm,SepalLengthCm,SepalWidthCm,Species
1,0.06779661016949151,0.22222222222222213,0.6249999999999999,0
4,0.0847457627118644,0.08333333333333327,0.4583333333333333,0
7,0.06779661016949151,0.08333333333333327,0.5833333333333333,0
10,0.0847457627118644,0.1666666666666668,0.4583333333333333,0
13,0.06779661016949151,0.13888888888888887,0.41666666666666663,0
16,0.0847457627118644,0.38888888888888895,1.0,0
19,0.11864406779661016,0.38888888888888895,0.7499999999999998,0
22,0.0847457627118644,0.22222222222222213,0.7083333333333333,0
25,0.15254237288135591,0.13888888888888887,0.5833333333333333,0
28,0.0847457627118644,0.25000000000000006,0.6249999999999999,0
31,0.1016949152542373,0.13888888888888887,0.4583333333333333,0
34,0.06779661016949151,0.3333333333333333,0.9166666666666666,0
37,0.05084745762711865,0.3333333333333333,0.6249999999999999,0
40,0.0847457627118644,0.22222222222222213,0.5833333333333333,0
43,0.05084745762711865,0.027777777777777922,0.5,0
46,0.06779661016949151,0.13888888888888887,0.41666666666666663,0
49,0.0847457627118644,0.27777777777777773,0.7083333333333333,0
52,0.5932203389830508,0.5833333333333334,0.5,1
55,0.6101694915254237,0.611111111111111,0.3333333333333332,1
58,0.38983050847457623,0.1666666666666668,0.1666666666666666,1
61,0.423728813559322,0.19444444444444448,0.0,1
64,0.6271186440677966,0.4999999999999999,0.3749999999999999,1
67,0.5932203389830508,0.361111111111111,0.41666666666666663,1
70,0.4915254237288135,0.361111111111111,0.20833333333333331,1
73,0.6610169491525424,0.5555555555555555,0.20833333333333331,1
76,0.576271186440678,0.6388888888888887,0.41666666666666663,1
79,0.5932203389830508,0.4722222222222222,0.3749999999999999,1
82,0.4576271186440678,0.3333333333333333,0.1666666666666666,1
85,0.5932203389830508,0.30555555555555564,0.41666666666666663,1
88,0.576271186440678,0.5555555555555555,0.1249999999999999,1
91,0.576271186440678,0.3333333333333333,0.25,1
94,0.38983050847457623,0.19444444444444448,0.1249999999999999,1
97,0.5423728813559322,0.38888888888888895,0.3749999999999999,1
100,0.5254237288135593,0.38888888888888895,0.3333333333333332,1
103,0.8305084745762712,0.7777777777777776,0.41666666666666663,2
106,0.9491525423728813,0.9166666666666665,0.41666666666666663,2
109,0.8135593220338982,0.6666666666666666,0.20833333333333331,2
112,0.7288135593220338,0.5833333333333334,0.2916666666666667,2
115,0.6949152542372881,0.41666666666666663,0.3333333333333332,2
118,0.9661016949152542,0.9444444444444444,0.7499999999999998,2
121,0.7966101694915254,0.7222222222222222,0.5,2
124,0.6610169491525424,0.5555555555555555,0.2916666666666667,2
127,0.6440677966101694,0.5277777777777778,0.3333333333333332,2
130,0.8135593220338982,0.8055555555555556,0.41666666666666663,2
133,0.7796610169491525,0.5833333333333334,0.3333333333333332,2
136,0.8644067796610169,0.9444444444444444,0.41666666666666663,2
139,0.6440677966101694,0.4722222222222222,0.41666666666666663,2
142,0.6949152542372881,0.7222222222222222,0.4583333333333333,2
145,0.7966101694915254,0.6666666666666666,0.5416666666666665,2
148,0.711864406779661,0.611111111111111,0.41666666666666663,2
