Id,PetalLengthCm,PetalWidthCm,SepalLengthCm,SepalWidthCm,Species
2,0.06779661016949151,0.04166666666666667,0.1666666666666668,0.41666666666666663,0
3,0.05084745762711865,0.04166666666666667,0.11111111111111119,0.5,0
5,0.06779661016949151,0.04166666666666667,0.19444444444444448,0.6666666666666666,0
6,0.11864406779661016,0.12500000000000003,0.30555555555555564,0.7916666666666665,0
8,0.0847457627118644,0.04166666666666667,0.19444444444444448,0.5833333333333333,0
9,0.06779661016949151,0.04166666666666667,0.027777777777777922,0.3749999999999999,0
11,0.0847457627118644,0.04166666666666667,0.30555555555555564,0.7083333333333333,0
12,0.1016949152542373,0.04166666666666667,0.13888888888888887,0.5833333333333333,0
14,0.016949152542372895,0.0,0.0,0.41666666666666663,0
15,0.033898305084745756,0.04166666666666667,0.41666666666666663,0.8333333333333333,0
17,0.05084745762711865,0.12500000000000003,0.30555555555555564,0.7916666666666665,0
18,0.06779661016949151,0.08333333333333333,0.22222222222222213,0.6249999999999999,0
20,0.0847457627118644,0.08333333333333333,0.22222222222222213,0.7499999999999998,0
21,0.11864406779661016,0.04166666666666667,0.30555555555555564,0.5833333333333333,0
23,0.0,0.04166666666666667,0.08333333333333327,0.6666666666666666,0
24,0.11864406779661016,0.16666666666666669,0.22222222222222213,0.5416666666666665,0
26,0.1016949152542373,0.04166666666666667,0.19444444444444448,0.41666666666666663,0
27,0.1016949152542373,0.12500000000000003,0.19444444444444448,0.5833333333333333,0
29,0.06779661016949151,0.04166666666666667,0.25000000000000006,0.5833333333333333,0
30,0.1016949152542373,0.04166666666666667,0.11111111111111119,0.5,0
32,0.0847457627118644,0.12500000000000003,0.30555555555555564,0.5833333333333333,0
33,0.0847457627118644,0.0,0.25000000000000006,0.8749999999999998,0
35,0.0847457627118644,0.0,0.1666666666666668,0.4583333333333333,0
36,0.033898305084745756,0.04166666666666667,0.19444444444444448,0.5,0
38,0.0847457627118644,0.0,0.1666666666666668,0.4583333333333333,0
