Id,PetalLengthCm,PetalWidthCm,Species
1,0.06779661016949151,0.04166666666666667,0
2,0.06779661016949151,0.04166666666666667,0
3,0.05084745762711865,0.04166666666666667,0
4,0.0847457627118644,0.04166666666666667,0
5,0.06779661016949151,0.04166666666666667,0
6,0.11864406779661016,0.12500000000000003,0
7,0.06779661016949151,0.08333333333333333,0
8,0.0847457627118644,0.04166666666666667,0
9,0.06779661016949151,0.04166666666666667,0
10,0.0847457627118644,0.0,0
11,0.0847457627118644,0.04166666666666667,0
12,0.1016949152542373,0.04166666666666667,0
13,0.06779661016949151,0.0,0
14,0.016949152542372895,0.0,0
15,0.033898305084745756,0.04166666666666667,0
16,0.0847457627118644,0.12500000000000003,0
17,0.05084745762711865,0.12500000000000003,0
18,0.06779661016949151,0.08333333333333333,0
19,0.11864406779661016,0.08333333333333333,0
20,0.0847457627118644,0.08333333333333333,0
21,0.11864406779661016,0.04166666666666667,0
22,0.0847457627118644,0.12500000000000003,0
23,0.0,0.04166666666666667,0
24,0.11864406779661016,0.16666666666666669,0
25,0.15254237288135591,0.04166666666666667,0
26,0.1016949152542373,0.04166666666666667,0
27,0.1016949152542373,0.12500000000000003,0
28,0.0847457627118644,0.04166666666666667,0
29,0.06779661016949151,0.04166666666666667,0
30,0.1016949152542373,0.04166666666666667,0
31,0.1016949152542373,0.04166666666666667,0
32,0.0847457627118644,0.12500000000000003,0
33,0.0847457627118644,0.0,0
34,0.06779661016949151,0.04166666666666667,0
35,0.0847457627118644,0.0,0
36,0.033898305084745756,0.04166666666666667,0
37,0.05084745762711865,0.04166666666666667,0
38,0.0847457627118644,0.0,0
39,0.05084745762711865,0.04166666666666667,0
40,0.0847457627118644,0.04166666666666667,0
41,0.05084745762711865,0.08333333333333333,0
42,0.05084745762711865,0.08333333333333333,0
43,0.05084745762711865,0.04166666666666667,0
44,0.1016949152542373,0.20833333333333334,0
45,0.15254237288135591,0.12500000000000003,0
46,0.06779661016949151,0.08333333333333333,0
47,0.1016949152542373,0.04166666666666667,0
48,0.06779661016949151,0.04166666666666667,0
49,0.0847457627118644,0.04166666666666667,0
50,0.06779661016949151,0.04166666666666667,0
51,0.6271186440677966,0.5416666666666666,1
52,0.5932203389830508,0.5833333333333334,1
53,0.6610169491525424,0.5833333333333334,1
